Coupon_ID,Item_ID,CouponType,Value,Min_Purchase,Expiry
AD452,Item_54,Percent,10,3499,15
AG574,Item_14,Flat,4000,15999,30
AN108,Item_57,Percent,10,3499,15
BS289,Item_39,Flat,2000,10999,30
BU774,Item_35,Percent,10,3499,30
CP880,Item_53,Percent,5,1999,15
DK117,Item_52,Flat,4000,15999,90
EB323,Item_58,Flat,2000,10999,30
EL791,Item_30,Flat,2000,10999,30
EM849,Item_8,Percent,10,3499,30
FB617,Item_28,Percent,5,1999,30
FX326,Item_49,Percent,10,3499,15
GE725,Item_29,Flat,2000,10999,30
IJ213,Item_10,Flat,4000,15999,15
IM781,Item_46,Flat,4000,15999,30
JC942,Item_19,Flat,4000,15999,30
JD988,Item_36,Flat,2000,10999,30
JT255,Item_38,Flat,2000,10999,30
JT337,Item_31,Flat,4000,15999,15
KF549,Item_24,Flat,4000,15999,30
KV471,Item_17,Percent,10,3499,15
KY129,Item_2,Flat,2000,10999,30
LK921,Item_23,Flat,2000,10999,90
LV898,Item_50,Flat,2000,10999,30
MJ390,Item_43,Flat,4000,15999,30
MS789,Item_61,Percent,5,1999,30
NH787,Item_3,Flat,2000,10999,15
NH867,Item_6,Percent,10,3499,15
NL801,Item_1,Flat,4000,15999,30
OL924,Item_44,Flat,4000,15999,30
OM287,Item_41,Percent,10,3499,30
PB513,Item_37,Flat,4000,15999,30
PK238,Item_27,Percent,10,3499,30
PV938,Item_34,Flat,4000,15999,15
PW234,Item_4,Flat,4000,15999,30
PW860,Item_32,Percent,10,3499,30
QD673,Item_45,Flat,2000,10999,30
QE564,Item_60,Percent,5,1999,90
QG411,Item_7,Percent,10,3499,30
QI961,Item_42,Percent,10,3499,30
QV764,Item_40,Flat,4000,15999,30
QZ790,Item_5,Flat,2000,10999,30
RB644,Item_18,Percent,5,1999,30
RF170,Item_51,Flat,4000,15999,15
RI775,Item_47,Percent,5,1999,30
RJ385,Item_56,Percent,5,1999,30
RJ793,Item_55,Flat,2000,10999,30
RX760,Item_33,Percent,5,1999,90
SB928,Item_22,Flat,4000,15999,15
SF700,Item_59,Percent,5,1999,30
SU548,Item_11,Flat,2000,10999,30
TQ340,Item_48,Percent,5,1999,30
UN570,Item_21,Percent,5,1999,15
US167,Item_15,Flat,2000,10999,30
VJ938,Item_16,Percent,10,3499,90
WM681,Item_26,Percent,5,1999,30
WQ890,Item_9,Percent,5,1999,30
WV837,Item_25,Flat,4000,15999,30
WV964,Item_20,Percent,5,1999,30
YT396,Item_12,Percent,5,1999,30
ZF881,Item_13,Percent,10,3499,15
